title,genre_id,age_release,description,image_url
The Usual Suspects,"18,80,53",1995,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg
Antz,"10751,16,12,35",1998,"A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",/lWPjxbUMpAHFkJpZHHNWhQaRsax.jpg
The Last Rifleman,"36,18,10752",2023,"A WWII veteran escapes his care home in Northern Ireland and embarks on an arduous but inspirational journey to France to attend the 75th anniversary of the D-Day landings, finding the courage to face the ghosts of his past.",/47Qm5qPSq774Fva3TgmjqKrvtQj.jpg
A Nightmare on Elm Street,27,1984,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg
Evan Almighty,"14,35,10751",2007,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",/5vjH8oQFZXJ0gTOPsJKWidVsWmg.jpg
22 Bullets,"18,80,53",2010,"Charly Matteï has turned his back on his life as an outlaw. For the last three years, he's led a peaceful life devoting himself to his wife and two children. Then, one winter morning, he's left for dead in the parking garage in Marseille's Old Port, with 22 bullets in his body. Against all the odds, he doesn't die...",/4spRV4Qw0YGaWBHYJ6enu84sR81.jpg
Piranha 3D,"35,27",2010,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",/9651UNV3Mj45IOYCD9vlxFpYiw0.jpg
Snow White and the Huntsman,"12,14,18",2012,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",/8HUa5kRubYbnAD5UVpnhTGGgMTW.jpg
Reptile,80,2023,"Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.",/soIgqZBoTiTgMqUW0JtxsPWAilQ.jpg
Saw IV,"27,53,80",2007,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.",/ku1QdCXOU4ckz3zxLLlis8MIJVm.jpg
Traffic,"53,18,80",2000,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",/jbccmnqE4oAPI67bApgt2JiRPz8.jpg
Friend's Mothers,10749,2018,"A lonely young man is in dire straits, but his friend's mothers don't see him as a boy, but as a man, and take extra interest in him.",/cG1hXEWGepEqKSRe2HLL33vvPn8.jpg
Freedom Writers,"80,18",2007,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",/81AdeUQT99N0xPg3j6RVh0YGOTk.jpg
A Walk to Remember,"18,10749",2002,"When the popular, restless Landon Carter is forced to participate in the school drama production, he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life, as well as a very big secret she must keep from Landon.",/8lUYMvWdHA0Q0k5F76RQCeCBUkA.jpg
Mom's Friend,"18,10749",2015,"Seong Soo, a twenty years old boy, decided to move to Seoul after being accepted into Seoul University. However, he was a victim of real estate scam. He then moves into his mother's friend's house. Moreover, it turns out that his mother's friend is a sexy self-employed mother and Seong Soo is attracted to her.",/eLEqhVjleFUgxYWtgIgZ0gHdi3o.jpg
Jolt,"28,53",2021,A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,/gYZAHan5CHPFXORpQMvOjCTug4E.jpg
She's Out of My League,"10749,35",2010,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",/wTy3rtmbgJkClR492q6FBbtdeMb.jpg
Black '47,"18,37",2018,"In 1847, when Ireland is in the grip of the Great Famine that has ravaged the country for two long years, Feeney, a hardened Irish Ranger who has been fighting for the British Army abroad, returns home to reunite with his estranged family, only to discover the cruelest reality, a black land where death reigns.",/gZiu9RIcMeQLUaDVqQffQTl6bhy.jpg
Obsessed,18,2014,"A secret, passionate affair happens in the summer of 1969 between Colonel Jin Pyeong, trapped in a loveless marriage with Soo Jin, and Jong Ga Heun, the Chinese-Korean wife of Captain Kyung Woo Jin.",/fetCtoAvZShCk1nqAWZFuKZschR.jpg
Paprika,"16,878,53",2006,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it and recover it before damage is done: Paprika.",/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg
Elf,"35,10751,14",2003,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",/oOleziEempUPu96jkGs0Pj6tKxj.jpg
Penny Pincher!,35,2016,"François Gautier is stingy! Saving puts the joy, it causes pay sweats. His life is set for the sole purpose of never spend anything. A life that will switch in one day: he falls in love and discovers he has a daughter he did not know existed. Forced to lie in order to hide his terrible default, this will be the beginning for François problems. Because lie can sometimes be expensive. Very expensive…",/axdQyS20MtoBnXLpzJhn3g6etqZ.jpg
My Hero Academia: Two Heroes,"16,28,12,14",2018,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",/hC4nTxdhXqFWzgqynGvvXVMiMNp.jpg
The Eden Theory,"27,878",2021,"After his best friend disappears, Tom Edwards is investigated by a relentless detective as he tries to lead a normal summer. Tom fears facing the truth and struggles to cope with the loss of his friend as the world around him seems to fall apart.",/A2kEF7p4pHk732UZ07JSHG5FlYF.jpg
Flowers in the Attic,"18,9648,53,27",1987,"After the death of her husband, a mother takes her kids off to live with their grandparents in a huge, decrepit old mansion. However, the kids are kept hidden in a room just below the attic, visited only by their mother who becomes less and less concerned about them and their failing health, and more concerned about herself and the inheritence she plans to win back from her dying father.",/30OvZ9dsQwFN6WTTmsG9uieDQCi.jpg
Badlands,"80,18,10749",1974,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,/z81rBzHNgiNLean2JTGHgxjJ8nq.jpg
Original Sin,"53,18,9648,10749",2001,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",/kcRl79x11oJ53QuUfg4I03nFCiU.jpg
Wish Dragon,"16,10751,35,14",2021,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg
Snatched,"28,35",2017,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.",/gsleO1KultziWltEAngAEZkxQhf.jpg
Museo,"80,18",2018,"Mexico, 1985. Juan and Wilson, two perennial Veterinary students, perpetrate an audacious heist in the National Museum of Anthropology, running away with a loot of more than hundred invaluable pieces of Mayan art, unaware of the consequences of their outrageous act.",/cZ10lucxQH5ixwOoh8iYypFmwJ2.jpg
Casino,"80,18,36",1995,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",/4TS5O1IP42bY2BvgMxL156EENy.jpg
Torque,28,2004,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford is now on the run trying to clear his name from the murder with Trey and his gang looking for his blood.",/pY35tW8BMAjZewl87OxjXK8ui02.jpg
